ID,Modulo,Descripcion,Estado,Evidencia,Archivos,Pendiente,Prioridad
RQF1,Computadora/Laptop,Acceso a computadora y catálogo de productos con bloqueo por nivel/desbloqueo/fondos,Parcial,UIShopDesktop.Interact abre la laptop; OrdersAppUIController lista productos; UIShopItemProduct bloquea por árbol; botón principal visible en HUD no verificado,Assets/StoreSimulator/Scripts/UIShopDesktop.cs; Assets/UI/Computer/Orders/OrdersAppUIController.cs; Assets/StoreSimulator/Scripts/UIShopItemProduct.cs; Assets/StoreSimulator/Prefabs/Store/Computer.prefab,Verificar en Play Mode el botón visible/flujo principal y que la app Compra quede accesible en la computadora existente,Alta
RQF2,Computadora/Laptop,Compra solo con fondos suficientes y mensaje de monto faltante,Cumplido,"OrdersAppUIController valida StoreDatabase.CanPurchase, desactiva compra y muestra deficit; DeliverySystem mantiene validación base",Assets/UI/Computer/Orders/OrdersAppUIController.cs; Assets/StoreSimulator/Scripts/DeliverySystem.cs,Unificar idioma/mensaje con el flujo base de DeliverySystem si se usa fuera de la app Compra,Medio
RQF3,Árbol del Emprendedor,"Acceso desde computadora, nodos gráficos, costos y tipos de nodo",Cumplido,"EntrepreneurTreeUIBootstrap inyecta UpgradesUIController en panel Expansions; UpgradesUIController crea nodos, líneas, panel de info, costo y puntos",Assets/Systems/EntrepreneurTree/EntrepreneurTreeUIBootstrap.cs; Assets/UI/Computer/Upgrades/UpgradesUIController.cs; Assets/UI/Computer/Upgrades/NodeUI.cs; Assets/UI/Computer/Upgrades/ConnectionLineUI.cs,Validar visualmente en Play Mode que no se encime con tabs inyectadas,Alta
RQF4,Árbol del Emprendedor,Validación de prerequisitos y notificación de faltantes,Cumplido,EntrepreneurTreeManager.CanUnlockNode arma lista de requisitos faltantes y TryUnlockNode muestra mensaje; UpgradesUIController muestra check de requisitos,Assets/Systems/EntrepreneurTree/EntrepreneurTreeManager.cs; Assets/UI/Computer/Upgrades/UpgradesUIController.cs,Ninguno crítico; revisar codificación de acentos en textos,Bajo
RQF5,Expansión,Comprar espacios de venta/almacenamiento desde app de computadora con mapa/plano,Cumplido,EntrepreneurTreeUIBootstrap crea tab EXPANDIR; ExpansionAppUIController construye mapa y detalle; SupermarketExpansionSystem define zonas,Assets/Systems/EntrepreneurTree/EntrepreneurTreeUIBootstrap.cs; Assets/UI/Computer/Expansion/ExpansionAppUIController.cs; Assets/UI/Computer/Expansion/ExpansionMapRenderer.cs; Assets/Systems/Expansion/SupermarketExpansionSystem.cs,Verificar Play Mode en resolución objetivo,Alta
RQF6,Expansión,"Costos venta $1,750/16 m2 y almacenamiento $2,500/32 m2 con costo antes de confirmar",Cumplido,"SalesPrice=175000, StoragePrice=250000; zonas de venta 16 m2 y almacén 32 m2; UI muestra precio y prompt de compra",Assets/Systems/Expansion/SupermarketExpansionSystem.cs; Assets/UI/Computer/Expansion/ExpansionAppUIController.cs,Ninguno funcional; documento trae fórmula rota en texto del costo,Bajo
RQF7,Expansión,Mensaje de error por fondos insuficientes en espacios,Cumplido,TryPurchaseZone devuelve missingFunds; ExpansionAppUIController muestra faltante en detalle y al comprar,Assets/Systems/Expansion/SupermarketExpansionSystem.cs; Assets/UI/Computer/Expansion/ExpansionAppUIController.cs,Validar sonido/estilo de alerta si se requiere,Medio
RQF8,Empleados,Desbloqueo de empleados desde árbol,Cumplido,18 nodos employee_N definidos; EntrepreneurTreeEmployeeUnlockAdapter y EntrepreneurEmployeeSystem consultan desbloqueo,Assets/Systems/EntrepreneurTree/EntrepreneurTreeDefinition.cs; Assets/Systems/EntrepreneurTree/EntrepreneurEmployeeSystem.cs; Assets/Systems/EntrepreneurTree/EntrepreneurTreeEmployeeUnlockAdapter.cs,Verificar en Play Mode el refresco visual al desbloquear,Alta
RQF9,Empleados,Asignación de roles cajero/surtidor desde interfaz de computadora,Parcial,"EmployeeAppUIController permite contratar y asignar Cashier/Restocker; roles tienen botones, pero descripciones de responsabilidades son mínimas",Assets/UI/Computer/Employees/EmployeeAppUIController.cs; Assets/Systems/EntrepreneurTree/EntrepreneurEmployeeSystem.cs,Agregar descripciones claras por rol y verificar persistencia visual tras carga,Alta
RQF10,Seguridad,Control manual de ladrones sin seguridad,Parcial,ShoplifterInteractable permite capturar acercándose e interactuando; solo ocurre cuando ShoplifterAgent entra en escape. No se probó flujo en Play Mode,Assets/Systems/EntrepreneurTree/ShoplifterInteractable.cs; Assets/Systems/EntrepreneurTree/ShoplifterAgent.cs; Assets/Systems/EntrepreneurTree/ShoplifterSystem.cs,"Validar interacción real, distancia, input E/LeftClick y recuperación de inventario",Alta
