ID_Original,ID_Interno,Nombre,Descripcion_Resumida,Categoria,Sistemas_Involucrados,Archivos_Involucrados,Prefabs_Escenas,Estado_Actual,Evidencia_Encontrada,Prueba_Realizada,Resultado_Prueba,Errores_Detectados,Que_Falta,Prioridad,Riesgo,Siguiente_Accion
RQF1,RQF1_ComputadoraCatalogo,"Acceso a computadora y catálogo","Jugador accede a computadora con catálogo; desactiva productos por nivel/fondos",Computadora,"UIShopDesktop, OrdersAppUIController, EntrepreneurTreeUIBootstrap, EntrepreneurTreeProductUnlockAdapter","UIShopDesktop.cs, OrdersAppUIController.cs, EntrepreneurTreeUIBootstrap.cs, EntrepreneurTreeProductUnlockAdapter.cs","Game.unity, UIShopDesktop.unity",PARCIAL,"OrdersAppUIController con EnsureOrdersTab bootstrap; ProductUnlockAdapter mapea groups product_basic_1-N; bloqueo visual implementado","No Play Mode","Sin Play Mode real","Sin evidencia de bugs en código; no se verificó apertura real de computadora ni bloqueos visuales en escena",Play Mode: abrir computadora y confirmar catálogo con bloqueos correctos,CRITICA,ALTA,"Ejecutar Unity Play Mode: interactuar con computadora, abrir app Compra, verificar bloqueos por árbol vs fondos"
RQF2,RQF2_CompraConFondos,"Compra con validación de fondos","Solo se puede comprar con dinero suficiente; mensaje claro con monto faltante",Computadora,"DeliverySystem, StoreDatabase, OrdersAppUIController","DeliverySystem.cs, StoreDatabase.cs, OrdersAppUIController.cs","Game.unity",PARCIAL,"DeliverySystem.Purchase: null-safety IGS + try-catch + refund + mensaje claro con monto faltante. OrdersAppUIController.OnBuyClicked valida fondos con mensaje.","No Play Mode","Sin Play Mode real","Código corregido en este lote (null-safety InteractionSystem); error genérico eliminado; reembolso implementado. No se verificó en ejecución real.",Play Mode: comprar con fondos y sin fondos; confirmar mensaje con monto exacto faltante; verificar no pérdida de dinero,CRITICA,ALTA,"Play Mode: comprar Leche con fondos y sin fondos"
RQF3,RQF3_ArbolEmprendedor,"Árbol del Emprendedor desde computadora","Árbol gráfico con nodos de habilidades/productos/empleados/seguridad con costos y tipos",Arbol,"EntrepreneurTreeManager, UpgradesUIController, EntrepreneurTreeUIBootstrap, NodeUI, ConnectionLineUI","EntrepreneurTreeUIBootstrap.cs, UpgradesUIController.cs, NodeUI.cs, ConnectionLineUI.cs, EntrepreneurTreeManager.cs","Game.unity, Upgrades panel",PARCIAL,"UpgradesUIController.BuildTree() construye nodos gráficos; ConnectionLineUI dibuja conexiones; EntrepreneurTreeDefinition define todos los nodos con posiciones","No Play Mode","Sin Play Mode real","Sin errores estáticos detectados; layout Canvas depende de escena real",Play Mode: abrir Árbol y verificar nodos visibles con colores/costos/tipos/estados y sin superposiciones,ALTA,MEDIA,"Play Mode: abrir pestaña Árbol del Emprendedor"
RQF4,RQF4_RequisitosArbol,"Requisitos previos para desbloquear nodos","Solo se puede desbloquear si se cumplieron prerequisitos; notificación si faltan",Arbol,"EntrepreneurTreeManager, UpgradesUIController","EntrepreneurTreeManager.cs, EntrepreneurTreeDefinition.cs, UpgradesUIController.cs","Game.unity",PARCIAL,"EntrepreneurTreeManager.CanUnlockNode valida prerequisitos; TryUnlockNode devuelve reason; UI muestra notificación","No Play Mode","Sin Play Mode real","No se verificó comportamiento en ejecución real",Play Mode: intentar desbloquear nodo sin prerequisito y con prerequisito,ALTA,MEDIA,"Play Mode: intentar unlock fallido y exitoso"
RQF5,RQF5_ExpansionMapa,"Expandir supermercado con mapa","App de expansión con plano; muestra espacios de venta y almacenamiento",Expansion,"ExpansionAppUIController, ExpansionMapRenderer, SupermarketExpansionSystem","ExpansionAppUIController.cs, ExpansionMapRenderer.cs, SupermarketExpansionSystem.cs","Game.unity, Expansion panel",PARCIAL,"EnsureExpansionTab en bootstrap; ExpansionMapRenderer dibuja zonas en canvas; TryPurchaseZone implementado; ExpansionRealWorldBridge creado en este lote","No Play Mode","Sin Play Mode real","Bridge creado pero no se verificó que activación de ExpansionObject real funcione; puede necesitar IDs manuales en scena",Play Mode: abrir Expandir y ver mapa; comprar zona; verificar mundo cambia,CRITICA,ALTA,"Play Mode: abrir app Expandir; comprar zona; caminar a zona"
RQF6,RQF6_CostosExpansion,"Costos de expansión con confirmación","Venta $1750/16m2; almacén $2500/32m2; mostrar costo antes de confirmar",Expansion,"ExpansionAppUIController, SupermarketExpansionSystem","SupermarketExpansionSystem.cs, ExpansionAppUIController.cs","Game.unity",PARCIAL,"SalesPrice=175000 y StoragePrice=250000 en centavos definidos; UI muestra tipo/tamaño/precio en panel derecho","No Play Mode","Sin Play Mode real","Sin verificación visual en ejecución",Play Mode: seleccionar zona y verificar precio correcto en panel; comprar y verificar descuento exacto,ALTA,MEDIA,"Play Mode: verificar costos en UI de expansión"
RQF7,RQF7_ErrorExpansionSinFondos,"Error claro si no hay fondos para expansión","Mensaje de error claro con monto faltante si no alcanza para expansión",Expansion,"SupermarketExpansionSystem, ExpansionAppUIController","SupermarketExpansionSystem.cs, ExpansionAppUIController.cs","Game.unity",PARCIAL,"TryPurchaseZone devuelve missingFunds; ExpansionAppUIController lo muestra como mensaje","No Play Mode","Sin Play Mode real","No verificado en ejecución",Play Mode: intentar comprar expansión sin fondos y verificar mensaje,ALTA,MEDIA,"Play Mode: comprar expansión sin dinero suficiente"
RQF8,RQF8_DesbloqueoEmpleados,"Desbloqueo de empleados desde Árbol","Empleados asociados a nodos específicos del árbol; se habilitan al desbloquear nodo",Empleados,"EntrepreneurTreeManager, EntrepreneurEmployeeSystem, EntrepreneurTreeEmployeeUnlockAdapter","EntrepreneurTreeManager.cs, EntrepreneurEmployeeSystem.cs, EntrepreneurTreeEmployeeUnlockAdapter.cs","Game.unity",PARCIAL,"EntrepreneurTreeDefinition define employee_1 a employee_N con prerequisitos; adapter mapea nodo a empleado","No Play Mode","Sin Play Mode real","No se verificó que desbloquear nodo realmente cambie estado de empleado en UI",Play Mode: desbloquear nodo empleado y abrir app Empleados para verificar estado cambia a disponible,CRITICA,ALTA,"Play Mode: desbloquear employee_1 en Árbol y verificar en app Empleados"
RQF9,RQF9_RolesEmpleados,"Asignar roles a empleados (cajero/surtidor)","Desde computadora se asigna rol con descripción clara; persistente",Empleados,"EmployeeAppUIController, EntrepreneurEmployeeSystem, EntrepreneurTreeSaveIntegration","EmployeeAppUIController.cs, EntrepreneurEmployeeSystem.cs, EntrepreneurTreeSaveIntegration.cs","Game.unity",PARCIAL,"EmployeeAppUIController.OnRoleClicked; TryAssignRole en sistema; roles se guardan en save integration","No Play Mode","Sin Play Mode real","No se verificó persistencia real del rol tras guardar/cargar",Play Mode: asignar rol; guardar/cargar; verificar rol persiste,CRITICA,ALTA,"Play Mode: asignar Cajero/Surtidor; cerrar día; reabrir y verificar rol"
RQF10,RQF10_SeguridadManual,"Control manual de seguridad sin niveles","Jugador puede interceptar ladrones manualmente cuando no tiene seguridad desbloqueada",Seguridad,"ShoplifterInteractable, ShoplifterAgent, ShoplifterSystem","ShoplifterInteractable.cs, ShoplifterAgent.cs, ShoplifterSystem.cs","Game.unity",PARCIAL,"TryManualCapture implementado; ShoplifterInteractable.Interact llama captura; no consulta nivel de seguridad para captura manual","No Play Mode","Sin Play Mode real","No se verificó captura real en ejecución; gorra/mochila placeholder creada en este lote",Play Mode: forzar ladrón con AdminMode; capturar manualmente; verificar recuperación de productos,ALTA,ALTA,"Play Mode con AdminMode forceShoplifterSpawn; captura manual"
